index,signatures,pagenum,category,description,,,,,,,,,,
336,,323,Grandison,L: Lover; Dismission or Refusal of a Lover,,,,,,,,,,
337,,324,Grandison,"L/M: Dismission or Refusal of a Lover; Magnanimity, Spirit, Fortitude",,,,,,,,,,
338,,325,Grandison,"M: Magnanimity, Spirit, Fortitude",,,,,,,,,,
339,,326,Grandison,M: Marriages,,,,,,,,,,
340,,327,Grandison,M: Marriages,,,,,,,,,,
341,,328,Grandison,M: Marriages,,,,,,,,,,
342,,329,Grandison,"M: Marriage in advanced Years, and with an Inequality in Age",,,,,,,,,,
343,,330,Grandison,"M: Marriage in advanced Years; Clandestine Marriages, Inferior Marriages, Fortune-Hunters",,,,,,,,,,
344,,331,Grandison,"M: Clandestine Marriages; Marriage Treaties, Settlements",,,,,,,,,,
345,,332,Grandison,"M: Marriage Treaties, Settlements; Marriage Proposals; Masters, Mistresses, Servants",,,,,,,,,,
346,,333,Grandison,"M: Masters, Mistresses, Servants",,,,,,,,,,
347,,334,Grandison,"M: Masters, Mistresses, Servants; Matrimonial Bickerings",,,,,,,,,,
348,,335,Grandison,M: Matrimonial Bickerings; Matronly State,,,,,,,,,,
349,,336,Grandison,M: Matronly State; Meanness; Meditation,,,,,,,,,,
350,,337,Grandison,M: Meditation; Men and Women,,,,,,,,,,
351,,338,Grandison,M: Men and Women,,,,,,,,,,
352,,339,Grandison,"M: Men and Women; Military Men; Mirth, Joy, Laughter",,,,,,,,,,
353,,340,Grandison,"M: Mirth, Joy, Laughter; Miscellaneous Observations",,,,,,,,,,
354,,341,Grandison,M: Miscellaneous Observations,,,,,,,,,,
355,,342,Grandison,M: Miscellaneous Observations,,,,,,,,,,
356,,343,Grandison,M: Miscellaneous Observations,,,,,,,,,,
357,,344,Grandison,"M: Miscellaneous Observations; Modesty, Decorum ",,,,,,,,,,
358,,345,Grandison,"M: Modesty, Decorum",,,,,,,,,,
359,,346,Grandison,"N: New-married Woman, Wedded Love",,,,,,,,,,
360,,347,Grandison,"N: New-married Woman, Wedded Love; Nupital Preparations, Wedding-Day",,,,,,,,,,
361,,348,Grandison,"N: Nupital Preparations, Wedding-Day",,,,,,,,,,
362,,349,Grandison,"N/O: Nupital Preparations, Wedding-Day; Oeconomy, Early Rising",,,,,,,,,,
363,,350,Grandison,"O: Oeconomy, Early Rising; Old Bachelors, Old Maids",,,,,,,,,,
364,,351,Grandison,"O: Old Bachelors, Old Maids",,,,,,,,,,
365,,352,Grandison,"O: Old Bachelors, Old Maids",,,,,,,,,,
366,,353,Grandison,"O/P: Old Bachelors, Old Maids; Parents and Children ",,,,,,,,,,
367,,354,Grandison,P: Parents and Children,,,,,,,,,,
368,,355,Grandison,P: Parents and Children,,,,,,,,,,
369,,356,Grandison,P: Parents and Children,,,,,,,,,,
370,,357,Grandison,P: Parliament Men; Partiality; The Passions,,,,,,,,,,
371,,358,Grandison,"P: The Passions; Penitence, Reformation, Remorse, Contrition",,,,,,,,,,
372,,359,Grandison,"P: Penitence, Reformation, Remorse, Contrition",,,,,,,,,,
373,,360,Grandison,"P: Penitence, Reformation, Remorse, Contrition; Persuasion, Forced Marriages",,,,,,,,,,
374,,361,Grandison,"P: Physicians, Surgeons; Pity, Compassion",,,,,,,,,,
375,,362,Grandison,"P: Pity, Compassion; Platonic Love",,,,,,,,,,
376,,363,Grandison,"P: Platonic Love; Poets; Polite, Politeness, Elegance",,,,,,,,,,
377,,364,Grandison,"P: Polite, Politeness, Elegance; Praise, Self-Praise, Dispraise ",,,,,,,,,,
378,,365,Grandison,"P: Praise, Self-Praise, Dispraise ",,,,,,,,,,
379,,366,Grandison,"P: Protestant Nunneries; Protestations, Professions, Promises, Vows",,,,,,,,,,
380,,367,Grandison,"P: Protestations, Professions, Promises, Vows; Prudence, Discretion, Wise Men",,,,,,,,,,
381,,368,Grandison,"P: Prudence, Discretion, Wise Men",,,,,,,,,,
382,,369,Grandison,"P: Prudence, Discretion, Wise Men; Prudery, Coquetry; Public Places, Modern fine Ladies and Gentleman, Depravity of Times and Manners, Racketing ",,,,,,,,,,
383,,370,Grandison,"P: Public Places, Modern fine Ladies and Gentleman, Depravity of Times and Manners, Racketing ",,,,,,,,,,
384,,371,Grandison,"P: Public Places, Modern fine Ladies and Gentleman, Depravity of Times and Manners, Racketing ",,,,,,,,,,
385,,372,Grandison,"P: Public Places, Modern fine Ladies and Gentleman, Depravity of Times and Manners, Racketing ",,,,,,,,,,
386,,373,Grandison,"P/R: Public Places, Modern fine Ladies and Gentleman, Depravity of Times and Manners, Racketing; Recommendation; Recrimination, Reproof ",,,,,,,,,,
387,,374,Grandison,"R: Recrimination, Reproof; Religion, Piety",,,,,,,,,,
388,,375,Grandison,"R: Religion, Piety; Retribution ",,,,,,,,,,
389,,376,Grandison,"R/S: Retribution; Ridicule, Humour, Raillery; Seduction ",,,,,,,,,,
390,,377,Grandison,S: Seduction; Self Partiality; Sentiments; Signs of Love,,,,,,,,,,
391,,378,Grandison,S: Signs of Love,,,,,,,,,,
392,,379,Grandison,"S: Signs of Love; Sincerity, Insincerity",,,,,,,,,,
393,,380,Grandison,S: Single Women,,,,,,,,,,
394,,381,Grandison,S: Single Women,,,,,,,,,,
395,,382,Grandison,S: Single Women,,,,,,,,,,
396,,383,Grandison,"S: Single Women; Step-mother, Mother-in-law",,,,,,,,,,
397,,384,Grandison,"S:  Step-mother, Mother-in-law; Suicide; Susceptibilities; Suspense",,,,,,,,,,
398,,385,Grandison,T: Taste; Temptation,,,,,,,,,,
399,,386,Grandison,"T: Travellers, Travelling",,,,,,,,,,
400,,387,Grandison,"T/V: Travellers, Travelling; Vanity, Birth, Descent, Pride; Vice, Wicked, Wickedness",,,,,,,,,,
401,,388,Grandison,"V: Vice, Wicked, Wickedness; Vincibility of Love; Virtue",,,,,,,,,,
402,,389,Grandison,V/W: Virtue; Widows,,,,,,,,,,
403,,390,Grandison,"W: Widows; Last Wills, Funerals; Wit, Witty Men, Witty Women",,,,,,,,,,
404,,391,Grandison,"W: Wit, Witty Men, Witty Women; The World, This World",,,,,,,,,,
405,,392,Grandison,"W/Y: The World, This World; Youth, Young Men",,,,,,,,,,
406,,393,Grandison,"Y: Youth, Young Men",,,,,,,,,,
407,,394,Grandison,"Z: Zeal, Zealousness",,,,,,,,,,
408,,395,Paratext,Table to the Sentiments: History of Pamela,,,,,,,,,,
409,,396,Paratext,Table to the Sentiments: History of Pamela,,,,,,,,,,
410,,397,Paratext,Table to the Sentiments: History of Pamela; History of Clarissa,,,,,,,,,,
411,,398,Paratext,Table to the Sentiments: History of Clarissa,,,,,,,,,,
412,,399,Paratext,Table to the Sentiments: History of Clarissa; History of Sir Ch. Grandison,,,,,,,,,,
413,,400,Paratext,Table to the Sentiments: History of Sir Ch. Grandison,,,,,,,,,,
414,,401,Paratext,Table to the Sentiments: History of Sir Ch. Grandison,,,,,,,,,,
415,,402,Paratext,Table to the Sentiments: History of Sir Ch. Grandison,,,,,,,,,,
416,,403,Paratext,Letter to a Lady,,,,,,,,,,
417,,404,Paratext,Letter to a Lady,,,,,,,,,,
418,,405,Paratext,Letter to a Lady,,,,,,,,,,
419,,406,Paratext,Letter to a Lady,,,,,,,,,,
420,,407,Paratext,Answer to a Letter from a Friend,,,,,,,,,,
421,,408,Paratext,Answer to a Letter from a Friend,,,,,,,,,,
422,,409,Paratext,Answer to a Letter from a Friend,,,,,,,,,,
423,,410,Paratext,Answer to a Letter from a Friend,,,,,,,,,,
424,,,,Endpaper,,,,,,,,,,
425,,,,Endpaper,,,,,,,,,,
426,,,,Back of board,,,,,,,,,,
427,,,,Board,,,,,,,,,,
